feature,importance
methane_yield_lag1,0.35513097858122455
methane_yield_roll3,0.11976727371504363
VS,0.07289488779932703
pH,0.06942647108896499
temperature_pH_interaction,0.04744009409312373
TS,0.03532692498109272
temperature,0.026926305759413627
temperature_roll3,0.02497252133845051
C_N_ratio,0.022612525666138975
VS_roll3,0.01622343659165706
ambient_temperature,0.014649156815283318
TS_roll3,0.013926499840989006
ambient_temperature_roll3,0.011964471352407288
HRT,0.011637865831263096
temperature_lag1,0.011216593230894334
VS_TS_ratio,0.010677279216789957
pH_roll3,0.0106628297467151
HRT_roll3,0.010348804531195863
moisture_roll3,0.009808924272953202
OLR_lag1,0.009776999465689516
OLR,0.009620228070482227
moisture_lag1,0.009515931115616404
C_N_ratio_roll3,0.00859459322930084
TS_lag1,0.008368006167017064
ambient_temperature_lag1,0.00825573243411765
C_N_ratio_lag1,0.008025352094900911
OLR_roll3,0.00789924822145289
moisture,0.007598787253881141
VS_lag1,0.0074857535617435
OLR_HRT_ratio,0.006606466287615172
pH_lag1,0.006600076483284937
HRT_lag1,0.00603898116196975
